1, ocean, alexscaves:abyssal_chasm, MONSTER, alexscaves:deep_one_mage, 10, 1, 1
160, none, terralith:alpha_islands_winter, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
161, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
162, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
163, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
164, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
165, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
166, none, terralith:alpha_islands_winter, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
167, none, terralith:alpha_islands_winter, rascals, friendsandfoes:rascal, 10, 1, 1
168, forest, terralith:alpine_grove, MONSTER, minecraft:spider, 80, 4, 4
169, forest, terralith:alpine_grove, MONSTER, minecraft:zombie, 80, 4, 4
170, forest, terralith:alpine_grove, MONSTER, minecraft:zombie_villager, 10, 1, 1
171, forest, terralith:alpine_grove, MONSTER, minecraft:skeleton, 80, 4, 4
172, forest, terralith:alpine_grove, MONSTER, minecraft:slime, 80, 4, 4
173, forest, terralith:alpine_grove, MONSTER, minecraft:enderman, 5, 1, 4
174, forest, terralith:alpine_grove, MONSTER, minecraft:witch, 5, 1, 1
175, forest, terralith:alpine_grove, MONSTER, alexsmobs:centipede_head, 10, 1, 1
176, forest, terralith:alpine_grove, MONSTER, alexsmobs:farseer, 30, 1, 1
177, forest, terralith:alpine_grove, MONSTER, alexsmobs:murmur, 10, 1, 1
178, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
179, forest, terralith:alpine_grove, MONSTER, creeperoverhaul:snowy_creeper, 75, 2, 2
180, forest, terralith:alpine_grove, CREATURE, minecraft:sheep, 12, 8, 8
181, forest, terralith:alpine_grove, CREATURE, minecraft:pig, 10, 8, 8
182, forest, terralith:alpine_grove, CREATURE, minecraft:chicken, 10, 8, 8
183, forest, terralith:alpine_grove, CREATURE, minecraft:cow, 10, 8, 8
184, forest, terralith:alpine_grove, CREATURE, minecraft:wolf, 10, 4, 4
185, forest, terralith:alpine_grove, CREATURE, minecraft:rabbit, 10, 2, 3
186, forest, terralith:alpine_grove, CREATURE, minecraft:fox, 10, 2, 4
187, forest, terralith:alpine_grove, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
188, forest, terralith:alpine_grove, CREATURE, alexsmobs:moose, 10, 3, 4
189, forest, terralith:alpine_grove, CREATURE, alexsmobs:raccoon, 10, 2, 4
190, forest, terralith:alpine_grove, CREATURE, alexsmobs:snow_leopard, 18, 1, 2
191, forest, terralith:alpine_grove, CREATURE, alexsmobs:crow, 10, 3, 5
192, forest, terralith:alpine_grove, CREATURE, alexsmobs:bald_eagle, 15, 2, 4
193, forest, terralith:alpine_grove, CREATURE, alexsmobs:blue_jay, 16, 2, 4
194, forest, terralith:alpine_grove, AMBIENT, minecraft:bat, 10, 8, 8
195, forest, terralith:alpine_grove, AMBIENT, alexsmobs:fly, 10, 2, 3
196, forest, terralith:alpine_grove, AMBIENT, alexsmobs:cockroach, 10, 5, 5
197, forest, terralith:alpine_grove, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
198, forest, terralith:alpine_grove, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
199, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:bluegill, 20, 1, 6
200, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:brown_trout, 10, 1, 3
201, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:carp, 10, 1, 3
202, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:minnow, 18, 1, 5
203, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:muskellunge, 10, 1, 1
204, forest, terralith:alpine_grove, WATER_AMBIENT, aquaculture:perch, 20, 1, 6
205, forest, terralith:alpine_grove, rascals, friendsandfoes:rascal, 10, 1, 1
206, none, terralith:alpine_highlands, MONSTER, minecraft:spider, 80, 4, 4
207, none, terralith:alpine_highlands, MONSTER, minecraft:zombie, 80, 4, 4
208, none, terralith:alpine_highlands, MONSTER, minecraft:zombie_villager, 10, 1, 1
209, none, terralith:alpine_highlands, MONSTER, minecraft:skeleton, 80, 4, 4
210, none, terralith:alpine_highlands, MONSTER, minecraft:creeper, 80, 4, 4
211, none, terralith:alpine_highlands, MONSTER, minecraft:slime, 80, 4, 4
212, none, terralith:alpine_highlands, MONSTER, minecraft:enderman, 5, 1, 4
213, none, terralith:alpine_highlands, MONSTER, minecraft:witch, 5, 1, 1
214, none, terralith:alpine_highlands, MONSTER, alexsmobs:centipede_head, 10, 1, 1
215, none, terralith:alpine_highlands, MONSTER, alexsmobs:farseer, 30, 1, 1
216, none, terralith:alpine_highlands, MONSTER, alexsmobs:murmur, 10, 1, 1
217, none, terralith:alpine_highlands, CREATURE, minecraft:sheep, 12, 8, 8
218, none, terralith:alpine_highlands, CREATURE, minecraft:pig, 10, 8, 8
219, none, terralith:alpine_highlands, CREATURE, minecraft:chicken, 10, 8, 8
220, none, terralith:alpine_highlands, CREATURE, minecraft:cow, 10, 8, 8
221, none, terralith:alpine_highlands, CREATURE, minecraft:horse, 10, 2, 6
222, none, terralith:alpine_highlands, CREATURE, minecraft:donkey, 10, 1, 3
223, none, terralith:alpine_highlands, CREATURE, alexsmobs:grizzly_bear, 10, 2, 3
224, none, terralith:alpine_highlands, CREATURE, alexsmobs:raccoon, 10, 2, 4
225, none, terralith:alpine_highlands, CREATURE, alexsmobs:crow, 10, 3, 5
226, none, terralith:alpine_highlands, CREATURE, alexsmobs:gelada_monkey, 10, 9, 16
227, none, terralith:alpine_highlands, CREATURE, alexsmobs:bison, 10, 6, 10
228, none, terralith:alpine_highlands, CREATURE, alexsmobs:blue_jay, 16, 2, 4
229, none, terralith:alpine_highlands, AMBIENT, minecraft:bat, 10, 8, 8
230, none, terralith:alpine_highlands, AMBIENT, alexsmobs:fly, 10, 2, 3
231, none, terralith:alpine_highlands, AMBIENT, alexsmobs:cockroach, 10, 5, 5
232, none, terralith:alpine_highlands, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
233, none, terralith:alpine_highlands, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
234, none, terralith:alpine_highlands, rascals, friendsandfoes:rascal, 10, 1, 1
235, jungle, terralith:amethyst_canyon, MONSTER, minecraft:spider, 80, 4, 4
236, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie, 80, 4, 4
237, jungle, terralith:amethyst_canyon, MONSTER, minecraft:zombie_villager, 10, 1, 1
238, jungle, terralith:amethyst_canyon, MONSTER, minecraft:skeleton, 80, 4, 4
239, jungle, terralith:amethyst_canyon, MONSTER, minecraft:slime, 80, 4, 4
240, jungle, terralith:amethyst_canyon, MONSTER, minecraft:enderman, 5, 1, 4
241, jungle, terralith:amethyst_canyon, MONSTER, minecraft:witch, 5, 1, 1
242, jungle, terralith:amethyst_canyon, MONSTER, minecraft:ocelot, 10, 1, 3
243, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:centipede_head, 10, 1, 1
244, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:farseer, 30, 1, 1
245, jungle, terralith:amethyst_canyon, MONSTER, alexsmobs:murmur, 10, 1, 1
246, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
247, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
248, jungle, terralith:amethyst_canyon, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
249, jungle, terralith:amethyst_canyon, CREATURE, minecraft:sheep, 12, 8, 8
250, jungle, terralith:amethyst_canyon, CREATURE, minecraft:pig, 10, 8, 8
251, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 8, 8
252, jungle, terralith:amethyst_canyon, CREATURE, minecraft:cow, 10, 8, 8
253, jungle, terralith:amethyst_canyon, CREATURE, minecraft:chicken, 10, 4, 4
254, jungle, terralith:amethyst_canyon, CREATURE, minecraft:parrot, 40, 1, 2
255, jungle, terralith:amethyst_canyon, CREATURE, minecraft:panda, 10, 1, 2
256, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:hummingbird, 19, 7, 7
257, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:gorilla, 25, 7, 7
258, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:komodo_dragon, 16, 1, 2
259, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 16
260, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:tiger, 30, 1, 3
261, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:toucan, 23, 5, 5
262, jungle, terralith:amethyst_canyon, CREATURE, alexsmobs:anteater, 10, 1, 3
263, jungle, terralith:amethyst_canyon, CREATURE, aquaculture:arrau_turtle, 10, 1, 2
264, jungle, terralith:amethyst_canyon, AMBIENT, minecraft:bat, 10, 8, 8
265, jungle, terralith:amethyst_canyon, AMBIENT, alexsmobs:fly, 10, 2, 3
266, jungle, terralith:amethyst_canyon, AMBIENT, alexsmobs:cockroach, 10, 5, 5
267, jungle, terralith:amethyst_canyon, UNDERGROUND_WATER_CREATURE, minecraft:glow_squid, 10, 4, 6
268, jungle, terralith:amethyst_canyon, WATER_AMBIENT, alexsmobs:devils_hole_pupfish, 23, 5, 12
269, jungle, terralith:amethyst_canyon, WATER_AMBIENT, aquaculture:arapaima, 10, 1, 1
270, jungle, terralith:amethyst_canyon, WATER_AMBIENT, aquaculture:piranha, 20, 1, 6
271, jungle, terralith:amethyst_canyon, WATER_AMBIENT, aquaculture:tambaqui, 10, 1, 2
272, jungle, terralith:amethyst_canyon, rascals, friendsandfoes:rascal, 10, 1, 1
273, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:spider, 80, 4, 4
274, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie, 80, 4, 4
275, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:zombie_villager, 10, 1, 1
276, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:skeleton, 80, 4, 4
277, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:slime, 80, 4, 4
278, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:enderman, 5, 1, 4
279, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:witch, 5, 1, 1
280, jungle, terralith:amethyst_rainforest, MONSTER, minecraft:ocelot, 10, 1, 3
281, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:centipede_head, 10, 1, 1
282, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:farseer, 30, 1, 1
283, jungle, terralith:amethyst_rainforest, MONSTER, alexsmobs:murmur, 10, 1, 1
284, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:bamboo_creeper, 75, 2, 2
285, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:cave_creeper, 75, 2, 2
286, jungle, terralith:amethyst_rainforest, MONSTER, creeperoverhaul:jungle_creeper, 75, 2, 2
287, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:sheep, 12, 8, 8
288, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:pig, 10, 8, 8
289, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 8, 8
290, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:cow, 10, 8, 8
291, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:chicken, 10, 4, 4
292, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:parrot, 40, 1, 2
293, jungle, terralith:amethyst_rainforest, CREATURE, minecraft:panda, 10, 1, 2
294, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:hummingbird, 19, 7, 7
295, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:gorilla, 25, 7, 7
296, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:komodo_dragon, 16, 1, 2
297, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:capuchin_monkey, 28, 9, 16
298, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:tiger, 30, 1, 3
299, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:toucan, 23, 5, 5
300, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anaconda, 12, 1, 1
301, jungle, terralith:amethyst_rainforest, CREATURE, alexsmobs:anteater, 10, 1, 3
302, jungle, terralith:amethyst_rainforest, CREATURE, aquaculture:arrau_turtle, 10, 1, 2
