1, structory:abandoned_camp, HEADING, header:ignore, 0, 0, 0
46, imst:beehouse, AMBIENT, minecraft:bee, 10, 1, 1
47, imst:berry_house, HEADING, header:ignore, 0, 0, 0
48, hopo:birch_mineshaft, HEADING, header:ignore, 0, 0, 0
49, formationsnether:blackstone_castle, HEADING, header:ignore, 0, 0, 0
50, formationsnether:blackstone_remnant, HEADING, header:ignore, 0, 0, 0
51, structory:boat, HEADING, header:ignore, 0, 0, 0
52, aether:bronze_dungeon, HEADING, header:ignore, 0, 0, 0
53, betterarcheology:buried_ruins_sand, HEADING, header:ignore, 0, 0, 0
54, minecraft:buried_treasure, HEADING, header:ignore, 0, 0, 0
55, cataclysm:burning_arena, HEADING, header:ignore, 0, 0, 0
56, imst:cactus_farm, HEADING, header:ignore, 0, 0, 0
57, formationsnether:campsite, HEADING, header:ignore, 0, 0, 0
58, formationsoverworld:campsite, HEADING, header:ignore, 0, 0, 0
59, imst:caravan, HEADING, header:ignore, 0, 0, 0
60, mvs:cartographer_tower, HEADING, header:ignore, 0, 0, 0
61, mvs:carts/cart, HEADING, header:ignore, 0, 0, 0
62, mvs:carts/large_cart_1, HEADING, header:ignore, 0, 0, 0
63, mvs:carts/large_cart_2, HEADING, header:ignore, 0, 0, 0
64, mvs:carts/medium_bamboo_cart, HEADING, header:ignore, 0, 0, 0
65, bygonenether:catacomb, HEADING, header:ignore, 0, 0, 0
66, bygonenether:catacomb, MONSTER, minecraft:magma_cube, 10, 1, 1
67, mvs:cathedral, HEADING, header:ignore, 0, 0, 0
68, mvs:cathedral, MONSTER, minecraft:skeleton, 10, 1, 2
69, mvs:cathedral, MONSTER, minecraft:zombie, 10, 2, 5
70, dungeons_arise:ceryneian_hind, HEADING, header:ignore, 0, 0, 0
71, formationsnether:checkerboard_temple, HEADING, header:ignore, 0, 0, 0
72, hopo:cherry_mineshaft, HEADING, header:ignore, 0, 0, 0
73, bygonenether:citadel, HEADING, header:ignore, 0, 0, 0
74, bygonenether:citadel, MONSTER, bygonenether:warped_enderman, 10, 1, 1
75, bygonenether:citadel, MONSTER, minecraft:enderman, 10, 1, 1
76, friendsandfoes:citadel, HEADING, header:ignore, 0, 0, 0
77, friendsandfoes:citadel, MONSTER, minecraft:blaze, 10, 1, 2
78, repurposed_structures:city_nether, HEADING, header:ignore, 0, 0, 0
79, repurposed_structures:city_nether, MONSTER, minecraft:wither_skeleton, 10, 2, 3
80, repurposed_structures:city_nether, MONSTER, minecraft:blaze, 80, 1, 4
81, repurposed_structures:city_overworld, HEADING, header:ignore, 0, 0, 0
82, imst:cocoa_farm, HEADING, header:ignore, 0, 0, 0
83, dungeons_arise:coliseum, HEADING, header:ignore, 0, 0, 0
84, formationsoverworld:copper_spire, HEADING, header:ignore, 0, 0, 0
85, mvs:crystal, HEADING, header:ignore, 0, 0, 0
86, hopo:dark_oak_mineshaft, HEADING, header:ignore, 0, 0, 0
87, imst:dark_tower, HEADING, header:ignore, 0, 0, 0
88, mvs:dead_tree/acacia, HEADING, header:ignore, 0, 0, 0
89, mvs:dead_tree/birch, HEADING, header:ignore, 0, 0, 0
90, mvs:dead_tree/cherry, HEADING, header:ignore, 0, 0, 0
91, mvs:dead_tree/dark_oak, HEADING, header:ignore, 0, 0, 0
92, mvs:dead_tree/jungle, HEADING, header:ignore, 0, 0, 0
93, mvs:dead_tree/mangrove, HEADING, header:ignore, 0, 0, 0
94, mvs:dead_tree/oak, HEADING, header:ignore, 0, 0, 0
95, mvs:dead_tree/spruce, HEADING, header:ignore, 0, 0, 0
96, hopo:deepslate_mineshaft, HEADING, header:ignore, 0, 0, 0
97, structory:dense_forest_ruin, HEADING, header:ignore, 0, 0, 0
98, formationsoverworld:desert_houses, HEADING, header:ignore, 0, 0, 0
99, betterarcheology:desert_obelisk, HEADING, header:ignore, 0, 0, 0
100, minecraft:desert_pyramid, HEADING, header:ignore, 0, 0, 0
101, betterdeserttemples:desert_temple, HEADING, header:ignore, 0, 0, 0
102, betterdeserttemples:desert_temple, MONSTER, minecraft:husk, 80, 10, 32
103, betterdeserttemples:desert_temple, CREATURE, minecraft:cat, 80, 4, 4
104, betterdeserttemples:desert_temple, CREATURE, minecraft:rabbit, 80, 4, 4
105, imst:desert_well, HEADING, header:ignore, 0, 0, 0
106, alexscaves:dino_bowl, HEADING, header:ignore, 0, 0, 0
107, nullscape:dragon_skeleton, HEADING, header:ignore, 0, 0, 0
108, dungeoncrawl:dungeon, HEADING, header:ignore, 0, 0, 0
109, imst:el_dorado, HEADING, header:ignore, 0, 0, 0
110, imst:el_dorado, MONSTER, minecraft:pillager, 10, 1, 3
111, structory_towers:end/end_tower, HEADING, header:ignore, 0, 0, 0
112, minecraft:end_city, HEADING, header:ignore, 0, 0, 0
113, minecraft:end_city, MONSTER, alexsmobs:mimicube, 40, 1, 3
114, mes:ender_spire, HEADING, header:ignore, 0, 0, 0
115, mes:enderbloom_grove, HEADING, header:ignore, 0, 0, 0
116, mes:enderkeep_courtyard, HEADING, header:ignore, 0, 0, 0
117, mes:enderpin_spikes, HEADING, header:ignore, 0, 0, 0
118, mes:enderskog, HEADING, header:ignore, 0, 0, 0
119, mes:enderwatch_tower, HEADING, header:ignore, 0, 0, 0
120, mes:endscraps, HEADING, header:ignore, 0, 0, 0
121, structory_towers:engineer_tower, HEADING, header:ignore, 0, 0, 0
122, towns_and_towers:exclusives/pillager_outpost_classic, HEADING, header:ignore, 0, 0, 0
123, towns_and_towers:exclusives/pillager_outpost_classic, MONSTER, minecraft:pillager, 10, 1, 2
124, towns_and_towers:exclusives/pillager_outpost_iberian, HEADING, header:ignore, 0, 0, 0
125, towns_and_towers:exclusives/pillager_outpost_iberian, MONSTER, minecraft:pillager, 10, 1, 2
126, towns_and_towers:exclusives/pillager_outpost_mediterranean, HEADING, header:ignore, 0, 0, 0
127, towns_and_towers:exclusives/pillager_outpost_mediterranean, MONSTER, minecraft:pillager, 10, 1, 2
128, towns_and_towers:exclusives/pillager_outpost_oriental, HEADING, header:ignore, 0, 0, 0
129, towns_and_towers:exclusives/pillager_outpost_oriental, MONSTER, minecraft:pillager, 10, 1, 2
130, towns_and_towers:exclusives/pillager_outpost_rustic, HEADING, header:ignore, 0, 0, 0
131, towns_and_towers:exclusives/pillager_outpost_rustic, MONSTER, minecraft:pillager, 10, 1, 2
132, towns_and_towers:exclusives/pillager_outpost_swedish, HEADING, header:ignore, 0, 0, 0
133, towns_and_towers:exclusives/pillager_outpost_swedish, MONSTER, minecraft:pillager, 10, 1, 2
134, towns_and_towers:exclusives/pillager_outpost_tudor, HEADING, header:ignore, 0, 0, 0
135, towns_and_towers:exclusives/pillager_outpost_tudor, MONSTER, minecraft:pillager, 10, 1, 2
136, towns_and_towers:exclusives/village_classic, HEADING, header:ignore, 0, 0, 0
137, towns_and_towers:exclusives/village_iberian, HEADING, header:ignore, 0, 0, 0
138, towns_and_towers:exclusives/village_mediterranean, HEADING, header:ignore, 0, 0, 0
139, towns_and_towers:exclusives/village_nilotic, HEADING, header:ignore, 0, 0, 0
140, towns_and_towers:exclusives/village_rustic, HEADING, header:ignore, 0, 0, 0
141, towns_and_towers:exclusives/village_swedish, HEADING, header:ignore, 0, 0, 0
142, towns_and_towers:exclusives/village_tudor, HEADING, header:ignore, 0, 0, 0
143, towns_and_towers:exclusives/village_wandering_trader_camp, HEADING, header:ignore, 0, 0, 0
144, structory_towers:farmer_outpost, HEADING, header:ignore, 0, 0, 0
145, formationsoverworld:farmland_field, HEADING, header:ignore, 0, 0, 0
146, alexscaves:ferrocave, HEADING, header:ignore, 0, 0, 0
147, illagerinvasion:firecaller_hut, HEADING, header:ignore, 0, 0, 0
148, structory:firetower, HEADING, header:ignore, 0, 0, 0
149, dungeons_arise:fishing_hut, HEADING, header:ignore, 0, 0, 0
150, formationsnether:flaming_pillar, HEADING, header:ignore, 0, 0, 0
151, imst:flowerdome, HEADING, header:ignore, 0, 0, 0
152, structory_towers:foraging_outpost, HEADING, header:ignore, 0, 0, 0
153, incendium:forbidden_castle, HEADING, header:ignore, 0, 0, 0
154, alexscaves:forlorn_bridge, HEADING, header:ignore, 0, 0, 0
155, alexscaves:forlorn_canyon, HEADING, header:ignore, 0, 0, 0
156, terralith:fortified_desert_village, HEADING, header:ignore, 0, 0, 0
157, terralith:fortified_village, HEADING, header:ignore, 0, 0, 0
158, minecraft:fortress, HEADING, header:ignore, 0, 0, 0
159, minecraft:fortress, MONSTER, minecraft:blaze, 10, 2, 3
160, minecraft:fortress, MONSTER, minecraft:zombified_piglin, 10, 4, 4
161, minecraft:fortress, MONSTER, minecraft:wither_skeleton, 10, 5, 5
162, minecraft:fortress, MONSTER, minecraft:skeleton, 10, 5, 5
163, minecraft:fortress, MONSTER, minecraft:magma_cube, 10, 4, 4
164, repurposed_structures:fortress_jungle, HEADING, header:ignore, 0, 0, 0
165, repurposed_structures:fortress_jungle, MONSTER, minecraft:wither_skeleton, 10, 1, 1
166, repurposed_structures:fortress_jungle, MONSTER, minecraft:skeleton, 10, 1, 3
167, repurposed_structures:fortress_jungle, MONSTER, minecraft:zombie, 10, 1, 4
168, repurposed_structures:fortress_jungle, MONSTER, minecraft:spider, 10, 1, 3
169, repurposed_structures:fortress_jungle, MONSTER, minecraft:creeper, 10, 1, 2
170, repurposed_structures:fortress_jungle, MONSTER, minecraft:enderman, 10, 1, 2
171, repurposed_structures:fortress_jungle, MONSTER, minecraft:witch, 10, 1, 2
172, betterarcheology:fossil_chicken, HEADING, header:ignore, 0, 0, 0
173, betterarcheology:fossil_chicken_birch, HEADING, header:ignore, 0, 0, 0
174, betterarcheology:fossil_creeper, HEADING, header:ignore, 0, 0, 0
175, betterarcheology:fossil_jungle_0, HEADING, header:ignore, 0, 0, 0
176, betterarcheology:fossil_jungle_1, HEADING, header:ignore, 0, 0, 0
177, betterarcheology:fossil_sheep_0, HEADING, header:ignore, 0, 0, 0
178, imst:fossil_swamp, HEADING, header:ignore, 0, 0, 0
179, dungeons_arise:foundry, HEADING, header:ignore, 0, 0, 0
180, formationsoverworld:fountain, HEADING, header:ignore, 0, 0, 0
181, mvs:gallows, HEADING, header:ignore, 0, 0, 0
182, dungeons_arise:giant_mushroom, HEADING, header:ignore, 0, 0, 0
183, terralith:glacial_hut, HEADING, header:ignore, 0, 0, 0
184, aether:gold_dungeon, HEADING, header:ignore, 0, 0, 0
185, formationsoverworld:graveyard, HEADING, header:ignore, 0, 0, 0
186, structory:graveyard, HEADING, header:ignore, 0, 0, 0
187, structory_towers:great_toadstool, HEADING, header:ignore, 0, 0, 0
188, dungeons_arise:greenwood_pub, HEADING, header:ignore, 0, 0, 0
189, dungeons_arise:heavenly_challenger, HEADING, header:ignore, 0, 0, 0
190, dungeons_arise:heavenly_conqueror, HEADING, header:ignore, 0, 0, 0
191, dungeons_arise:heavenly_rider, HEADING, header:ignore, 0, 0, 0
192, formationsoverworld:hobbit_hole, HEADING, header:ignore, 0, 0, 0
193, mvs:horse_pen, HEADING, header:ignore, 0, 0, 0
194, mvs:houses/azelea_house, HEADING, header:ignore, 0, 0, 0
195, mvs:houses/barn, HEADING, header:ignore, 0, 0, 0
196, mvs:houses/deepslate_house, HEADING, header:ignore, 0, 0, 0
197, mvs:houses/desert_house, HEADING, header:ignore, 0, 0, 0
198, mvs:houses/flower_hole, HEADING, header:ignore, 0, 0, 0
199, mvs:houses/house, HEADING, header:ignore, 0, 0, 0
200, mvs:houses/large_floating_island, HEADING, header:ignore, 0, 0, 0
201, mvs:houses/large_warped_tower, HEADING, header:ignore, 0, 0, 0
202, mvs:houses/medium_igloo_1, HEADING, header:ignore, 0, 0, 0
203, mvs:houses/medium_igloo_2, HEADING, header:ignore, 0, 0, 0
204, mvs:houses/small_igloo, HEADING, header:ignore, 0, 0, 0
205, mvs:houses/small_swamp_house, HEADING, header:ignore, 0, 0, 0
206, mvs:houses/tall_house, HEADING, header:ignore, 0, 0, 0
207, mvs:houses/warped_house, HEADING, header:ignore, 0, 0, 0
208, aquamirae:ice_maze/arch, HEADING, header:ignore, 0, 0, 0
209, aquamirae:ice_maze/arch, MONSTER, aquamirae:maw, 50, 1, 2
210, aquamirae:ice_maze/arch, AMBIENT, aquamirae:golden_moth, 10, 1, 2
211, aquamirae:ice_maze/common, HEADING, header:ignore, 0, 0, 0
212, aquamirae:ice_maze/common, MONSTER, aquamirae:maw, 50, 1, 2
213, aquamirae:ice_maze/spiral, HEADING, header:ignore, 0, 0, 0
214, aquamirae:ice_maze/spiral, MONSTER, aquamirae:maw, 50, 2, 6
215, friendsandfoes:iceologer_cabin, HEADING, header:ignore, 0, 0, 0
216, friendsandfoes:iceologer_cabin, MONSTER, minecraft:pig, 10, 1, 1
217, imst:igloo, HEADING, header:ignore, 0, 0, 0
218, imst:igloo, MONSTER, minecraft:zombie_villager, 10, 1, 1
219, minecraft:igloo, HEADING, header:ignore, 0, 0, 0
220, repurposed_structures:igloo_grassy, HEADING, header:ignore, 0, 0, 0
221, repurposed_structures:igloo_mangrove, HEADING, header:ignore, 0, 0, 0
222, repurposed_structures:igloo_mushroom, HEADING, header:ignore, 0, 0, 0
223, repurposed_structures:igloo_stone, HEADING, header:ignore, 0, 0, 0
224, dungeons_arise:illager_campsite, HEADING, header:ignore, 0, 0, 0
225, dungeons_arise:illager_corsair, HEADING, header:ignore, 0, 0, 0
226, dungeons_arise:illager_fort, HEADING, header:ignore, 0, 0, 0
227, illagerinvasion:illager_fort, HEADING, header:ignore, 0, 0, 0
228, illagerinvasion:illager_fort, MONSTER, minecraft:pillager, 10, 1, 1
229, illagerinvasion:illager_fort, MONSTER, illagerinvasion:marauder, 10, 1, 1
230, illagerinvasion:illager_fort, MONSTER, illagerinvasion:basher, 10, 1, 1
231, illagerinvasion:illager_fort, MONSTER, illagerinvasion:provoker, 10, 1, 1
232, dungeons_arise:illager_galley, HEADING, header:ignore, 0, 0, 0
233, dungeons_arise:illager_windmill, HEADING, header:ignore, 0, 0, 0
234, friendsandfoes:illusioner_shack, HEADING, header:ignore, 0, 0, 0
235, friendsandfoes:illusioner_shack, MONSTER, minecraft:illusioner, 10, 1, 1
236, illagerinvasion:illusioner_tower, HEADING, header:ignore, 0, 0, 0
237, friendsandfoes:illusioner_training_grounds, HEADING, header:ignore, 0, 0, 0
238, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:illusioner, 10, 1, 1
239, friendsandfoes:illusioner_training_grounds, MONSTER, minecraft:pillager, 10, 1, 2
240, incendium:infernal_altar, HEADING, header:ignore, 0, 0, 0
241, dungeons_arise:infested_temple, HEADING, header:ignore, 0, 0, 0
242, hopo:jungle_mineshaft, HEADING, header:ignore, 0, 0, 0
243, minecraft:jungle_pyramid, HEADING, header:ignore, 0, 0, 0
244, structory:jungle_ruin, HEADING, header:ignore, 0, 0, 0
245, structory:jungle_ruin, MONSTER, minecraft:creeper, 10, 4, 4
246, betterjungletemples:jungle_temple, HEADING, header:ignore, 0, 0, 0
247, mvs:jungle_tower, HEADING, header:ignore, 0, 0, 0
248, dungeons_arise:jungle_tree_house, HEADING, header:ignore, 0, 0, 0
249, dungeons_arise:keep_kayra, HEADING, header:ignore, 0, 0, 0
250, kobolds:kobold_den_large, HEADING, header:ignore, 0, 0, 0
251, kobolds:kobold_den_mountain, HEADING, header:ignore, 0, 0, 0
252, kobolds:kobold_den_pirate, HEADING, header:ignore, 0, 0, 0
253, kobolds:kobold_den_small, HEADING, header:ignore, 0, 0, 0
254, kobolds:kobold_dungeon_desert, HEADING, header:ignore, 0, 0, 0
255, illagerinvasion:labyrinth, HEADING, header:ignore, 0, 0, 0
256, deep_aether:lake_oasis, HEADING, header:ignore, 0, 0, 0
257, deep_aether:lake_oasis, CREATURE, minecraft:pig, 10, 4, 10
258, mvs:lantern/medium_oak_lantern, HEADING, header:ignore, 0, 0, 0
259, mvs:lantern/small_acacia_lantern, HEADING, header:ignore, 0, 0, 0
260, mvs:lantern/small_bamboo_lantern, HEADING, header:ignore, 0, 0, 0
261, mvs:lantern/small_birch_lantern, HEADING, header:ignore, 0, 0, 0
262, mvs:lantern/small_campfire_lantern, HEADING, header:ignore, 0, 0, 0
263, mvs:lantern/small_cherry_lantern, HEADING, header:ignore, 0, 0, 0
264, mvs:lantern/small_dark_oak_lantern, HEADING, header:ignore, 0, 0, 0
265, mvs:lantern/small_jungle_lantern, HEADING, header:ignore, 0, 0, 0
266, mvs:lantern/small_mangrove_lantern, HEADING, header:ignore, 0, 0, 0
267, mvs:lantern/small_oak_lantern, HEADING, header:ignore, 0, 0, 0
268, mvs:lantern/small_spruce_lantern, HEADING, header:ignore, 0, 0, 0
269, ctov:large/village_beach, HEADING, header:ignore, 0, 0, 0
270, ctov:large/village_dark_forest, HEADING, header:ignore, 0, 0, 0
271, ctov:large/village_desert, HEADING, header:ignore, 0, 0, 0
272, ctov:large/village_jungle, HEADING, header:ignore, 0, 0, 0
273, ctov:large/village_mesa, HEADING, header:ignore, 0, 0, 0
274, ctov:large/village_mountain, HEADING, header:ignore, 0, 0, 0
275, ctov:large/village_mushroom, HEADING, header:ignore, 0, 0, 0
276, ctov:large/village_plains, HEADING, header:ignore, 0, 0, 0
277, ctov:large/village_savanna, HEADING, header:ignore, 0, 0, 0
278, ctov:large/village_snowy, HEADING, header:ignore, 0, 0, 0
279, ctov:large/village_swamp, HEADING, header:ignore, 0, 0, 0
280, ctov:large/village_taiga, HEADING, header:ignore, 0, 0, 0
281, ctov:large/village_underground, HEADING, header:ignore, 0, 0, 0
282, aether:large_aercloud, HEADING, header:ignore, 0, 0, 0
283, formationsnether:large_house, HEADING, header:ignore, 0, 0, 0
284, formationsnether:large_pedestal, HEADING, header:ignore, 0, 0, 0
285, formationsoverworld:large_temple, HEADING, header:ignore, 0, 0, 0
286, formationsnether:large_tree, HEADING, header:ignore, 0, 0, 0
287, dungeons_arise:lighthouse, HEADING, header:ignore, 0, 0, 0
288, structory_towers:lighthouse, HEADING, header:ignore, 0, 0, 0
289, mvs:log_pile/acacia_log_pile, HEADING, header:ignore, 0, 0, 0
290, mvs:log_pile/birch_log_pile, HEADING, header:ignore, 0, 0, 0
291, mvs:log_pile/dark_oak_log_pile, HEADING, header:ignore, 0, 0, 0
292, mvs:log_pile/jungle_log_pile, HEADING, header:ignore, 0, 0, 0
293, mvs:log_pile/oak_log_pile, HEADING, header:ignore, 0, 0, 0
294, mvs:log_pile/spruce_log_pile, HEADING, header:ignore, 0, 0, 0
295, formationsoverworld:log_shelter, HEADING, header:ignore, 0, 0, 0
296, formationsoverworld:log_spikes, HEADING, header:ignore, 0, 0, 0
297, tlc:lost_castle, HEADING, header:ignore, 0, 0, 0
298, imst:lumberjack/acacia_hut, HEADING, header:ignore, 0, 0, 0
299, imst:lumberjack/birch_hut, HEADING, header:ignore, 0, 0, 0
300, imst:lumberjack/dark_oak_hut, HEADING, header:ignore, 0, 0, 0
301, imst:lumberjack/jungle_hut, HEADING, header:ignore, 0, 0, 0
302, imst:lumberjack/mangrove_hut, HEADING, header:ignore, 0, 0, 0
303, imst:lumberjack/oak_hut, HEADING, header:ignore, 0, 0, 0
304, imst:lumberjack/spruce_hut, HEADING, header:ignore, 0, 0, 0
305, hopo:mangrove_mineshaft, HEADING, header:ignore, 0, 0, 0
306, minecraft:mansion, HEADING, header:ignore, 0, 0, 0
307, repurposed_structures:mansion_birch, HEADING, header:ignore, 0, 0, 0
308, repurposed_structures:mansion_desert, HEADING, header:ignore, 0, 0, 0
309, repurposed_structures:mansion_jungle, HEADING, header:ignore, 0, 0, 0
310, repurposed_structures:mansion_mangrove, HEADING, header:ignore, 0, 0, 0
311, repurposed_structures:mansion_oak, HEADING, header:ignore, 0, 0, 0
312, repurposed_structures:mansion_savanna, HEADING, header:ignore, 0, 0, 0
313, repurposed_structures:mansion_snowy, HEADING, header:ignore, 0, 0, 0
314, repurposed_structures:mansion_taiga, HEADING, header:ignore, 0, 0, 0
315, mes:manuscript_shrine, HEADING, header:ignore, 0, 0, 0
316, dungeons_arise:mechanical_nest, HEADING, header:ignore, 0, 0, 0
317, ctov:medium/village_beach, HEADING, header:ignore, 0, 0, 0
318, ctov:medium/village_dark_forest, HEADING, header:ignore, 0, 0, 0
319, ctov:medium/village_desert, HEADING, header:ignore, 0, 0, 0
320, ctov:medium/village_jungle, HEADING, header:ignore, 0, 0, 0
321, ctov:medium/village_mesa, HEADING, header:ignore, 0, 0, 0
322, ctov:medium/village_mountain, HEADING, header:ignore, 0, 0, 0
323, ctov:medium/village_mushroom, HEADING, header:ignore, 0, 0, 0
324, ctov:medium/village_plains, HEADING, header:ignore, 0, 0, 0
325, ctov:medium/village_savanna, HEADING, header:ignore, 0, 0, 0
326, ctov:medium/village_snowy, HEADING, header:ignore, 0, 0, 0
327, ctov:medium/village_swamp, HEADING, header:ignore, 0, 0, 0
328, ctov:medium/village_taiga, HEADING, header:ignore, 0, 0, 0
329, ctov:medium/village_underground, HEADING, header:ignore, 0, 0, 0
330, dungeons_arise:merchant_campsite, HEADING, header:ignore, 0, 0, 0
331, betterarcheology:mesa_ruins, HEADING, header:ignore, 0, 0, 0
332, formationsoverworld:mesoamerican_temple, HEADING, header:ignore, 0, 0, 0
333, formationsoverworld:meteor, HEADING, header:ignore, 0, 0, 0
334, towns_and_towers:mimic_desert, HEADING, header:ignore, 0, 0, 0
335, minecraft:mineshaft, HEADING, header:ignore, 0, 0, 0
336, minecraft:mineshaft, AMBIENT, alexsmobs:underminer, 50, 1, 1
337, repurposed_structures:mineshaft_birch, HEADING, header:ignore, 0, 0, 0
338, repurposed_structures:mineshaft_birch, AMBIENT, alexsmobs:underminer, 50, 1, 1
339, repurposed_structures:mineshaft_crimson, HEADING, header:ignore, 0, 0, 0
340, repurposed_structures:mineshaft_crimson, AMBIENT, alexsmobs:underminer, 50, 1, 1
341, repurposed_structures:mineshaft_dark_forest, HEADING, header:ignore, 0, 0, 0
342, repurposed_structures:mineshaft_dark_forest, AMBIENT, alexsmobs:underminer, 50, 1, 1
343, repurposed_structures:mineshaft_desert, HEADING, header:ignore, 0, 0, 0
344, repurposed_structures:mineshaft_desert, AMBIENT, alexsmobs:underminer, 50, 1, 1
345, repurposed_structures:mineshaft_end, HEADING, header:ignore, 0, 0, 0
346, repurposed_structures:mineshaft_end, MONSTER, minecraft:endermite, 10, 2, 5
347, repurposed_structures:mineshaft_end, MONSTER, minecraft:enderman, 10, 1, 3
348, repurposed_structures:mineshaft_end, AMBIENT, alexsmobs:underminer, 50, 1, 1
349, repurposed_structures:mineshaft_icy, HEADING, header:ignore, 0, 0, 0
350, repurposed_structures:mineshaft_icy, AMBIENT, alexsmobs:underminer, 50, 1, 1
351, repurposed_structures:mineshaft_jungle, HEADING, header:ignore, 0, 0, 0
352, repurposed_structures:mineshaft_jungle, AMBIENT, alexsmobs:underminer, 50, 1, 1
353, minecraft:mineshaft_mesa, HEADING, header:ignore, 0, 0, 0
354, minecraft:mineshaft_mesa, AMBIENT, alexsmobs:underminer, 50, 1, 1
355, repurposed_structures:mineshaft_nether, HEADING, header:ignore, 0, 0, 0
356, repurposed_structures:mineshaft_nether, AMBIENT, alexsmobs:underminer, 50, 1, 1
357, repurposed_structures:mineshaft_ocean, HEADING, header:ignore, 0, 0, 0
358, repurposed_structures:mineshaft_ocean, AMBIENT, alexsmobs:underminer, 50, 1, 1
359, repurposed_structures:mineshaft_savanna, HEADING, header:ignore, 0, 0, 0
360, repurposed_structures:mineshaft_savanna, AMBIENT, alexsmobs:underminer, 50, 1, 1
361, repurposed_structures:mineshaft_stone, HEADING, header:ignore, 0, 0, 0
362, repurposed_structures:mineshaft_stone, AMBIENT, alexsmobs:underminer, 50, 1, 1
363, repurposed_structures:mineshaft_swamp, HEADING, header:ignore, 0, 0, 0
364, repurposed_structures:mineshaft_swamp, AMBIENT, alexsmobs:underminer, 50, 1, 1
365, repurposed_structures:mineshaft_taiga, HEADING, header:ignore, 0, 0, 0
366, repurposed_structures:mineshaft_taiga, AMBIENT, alexsmobs:underminer, 50, 1, 1
367, repurposed_structures:mineshaft_warped, HEADING, header:ignore, 0, 0, 0
368, repurposed_structures:mineshaft_warped, AMBIENT, alexsmobs:underminer, 50, 1, 1
369, dungeons_arise:mining_system, HEADING, header:ignore, 0, 0, 0
370, structory_towers:mirage_outpost, HEADING, header:ignore, 0, 0, 0
371, dungeons_arise:monastery, HEADING, header:ignore, 0, 0, 0
372, mes:monolith, HEADING, header:ignore, 0, 0, 0
